17:52:52.039 [main] INFO  WeChatBcTest - gav3i0D76g==
19:22:05.178 [main] INFO  WeChatBcTest - 已扫描二维码，请确认登陆
19:22:30.321 [main] INFO  WeChatBcTest - 等待扫码中...
19:22:34.431 [main] INFO  WeChatBcTest - 已确认登陆
19:22:34.573 [main] INFO  WeChatBcTest - 已确认登陆
19:22:35.802 [main] INFO  WeChatBcTest - 已确认登陆
19:22:35.910 [main] INFO  WeChatBcTest - 已确认登陆
19:22:36.006 [main] INFO  WeChatBcTest - 已确认登陆
19:22:36.092 [main] INFO  WeChatBcTest - 已确认登陆
19:22:36.196 [main] INFO  WeChatBcTest - 已确认登陆
19:22:36.273 [main] INFO  WeChatBcTest - 已确认登陆
19:22:36.351 [main] INFO  WeChatBcTest - 已确认登陆
19:22:36.431 [main] INFO  WeChatBcTest - 已确认登陆
19:22:36.532 [main] INFO  WeChatBcTest - 已确认登陆
19:22:36.610 [main] INFO  WeChatBcTest - 已确认登陆
19:22:36.715 [main] INFO  WeChatBcTest - 已确认登陆
19:22:36.825 [main] INFO  WeChatBcTest - 已确认登陆
19:22:36.923 [main] INFO  WeChatBcTest - 已确认登陆
19:22:37.011 [main] INFO  WeChatBcTest - 已确认登陆
19:22:37.356 [main] INFO  WeChatBcTest - 已确认登陆
19:22:37.457 [main] INFO  WeChatBcTest - 已确认登陆
19:22:37.536 [main] INFO  WeChatBcTest - 已确认登陆
19:22:37.673 [main] INFO  WeChatBcTest - 已确认登陆
19:22:37.881 [main] INFO  WeChatBcTest - 已确认登陆
19:22:38.084 [main] INFO  WeChatBcTest - 已确认登陆
19:22:38.188 [main] INFO  WeChatBcTest - 已确认登陆
19:22:38.395 [main] INFO  WeChatBcTest - 已确认登陆
19:22:38.495 [main] INFO  WeChatBcTest - 已确认登陆
19:22:38.573 [main] INFO  WeChatBcTest - 已确认登陆
19:22:38.659 [main] INFO  WeChatBcTest - 已确认登陆
19:22:38.752 [main] INFO  WeChatBcTest - 已确认登陆
19:22:39.470 [main] INFO  WeChatBcTest - 已确认登陆
19:22:39.550 [main] INFO  WeChatBcTest - 已确认登陆
19:22:39.631 [main] INFO  WeChatBcTest - 已确认登陆
19:22:39.726 [main] INFO  WeChatBcTest - 已确认登陆
19:22:39.827 [main] INFO  WeChatBcTest - 已确认登陆
19:22:39.914 [main] INFO  WeChatBcTest - 已确认登陆
19:22:40.011 [main] INFO  WeChatBcTest - 已确认登陆
19:22:40.093 [main] INFO  WeChatBcTest - 已确认登陆
19:22:40.171 [main] INFO  WeChatBcTest - 已确认登陆
19:22:40.531 [main] INFO  WeChatBcTest - 已确认登陆
19:31:01.767 [main] INFO  WeChatBcTest - 已扫描二维码，请确认登陆
19:31:12.323 [main] INFO  WeChatBcTest - 已确认登陆
19:31:58.269 [main] INFO  WeChatBcTest - 已扫描二维码，请确认登陆
19:32:10.590 [main] INFO  WeChatBcTest - 已确认登陆
19:46:42.158 [main] INFO  WeChatBcTest - 已扫描二维码，请确认登陆
19:46:52.870 [main] INFO  WeChatBcTest - 已确认登陆
20:02:22.866 [main] INFO  WeChatBcTest - 已扫描二维码，请确认登陆
20:02:34.297 [main] INFO  WeChatBcTest - 已确认登陆
20:03:57.763 [main] INFO  WeChatBcTest - 已扫描二维码，请确认登陆
20:04:07.571 [main] INFO  WeChatBcTest - 已确认登陆
20:06:32.267 [main] INFO  WeChatBcTest - 已扫描二维码，请确认登陆
20:06:42.700 [main] INFO  WeChatBcTest - 已确认登陆
20:09:49.691 [main] INFO  WeChatBcTest - 已扫描二维码，请确认登陆
20:10:03.944 [main] INFO  WeChatBcTest - 已确认登陆
20:22:27.078 [main] INFO  WeChatBcTest - 已扫描二维码，请确认登陆
20:22:36.948 [main] INFO  WeChatBcTest - 已确认登陆
20:23:06.604 [main] INFO  WeChatBcTest - 已扫描二维码，请确认登陆
20:23:16.370 [main] INFO  WeChatBcTest - 已确认登陆
20:23:17.525 [main] INFO  WeChatBcTest - 已取得登录信息:
20:23:17.525 [main] INFO  WeChatBcTest - BaseRequest{uin='1238806619', sid='NCBHzXxjy0OBzwar', skey='@crypt_d1445a2c_f767731becc7ca7369c961d384b7670c', deviceId='null', dataTicket='null', passTicket='GjQJyQNaXQq0IBL7XpU8zW6yZElfTgdiZghrxtAX11c%2BZ8hsQTd6DtBSK%2Fu%2FIZkxRNKfpkBmIqfaBxWE7INlYw%3D%3D', authTicket='null'}
20:26:32.345 [main] INFO  WeChatBcTest - 已扫描二维码，请确认登陆
20:26:42.963 [main] INFO  WeChatBcTest - 已确认登陆
20:26:43.930 [main] INFO  WeChatBcTest - 已取得登录信息:
